# Wohnung Kauf from immoscout24.de on 2019-06-18-14-05
ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url
111566116,Wohnung,111566116,Kauf,"Blankenese, Hamburg",true,true,Hamburg,true,001.76007,false,,186,,4,22587,1850000,false,Blankenese,PROVISIONSFREI für den Käufer!Direkte Elblage in Blankenese! 4-Zimmerwohnung mit herrlichem Ausblick,https://www.immobilienscout24.de/expose/111566116
111176052,Wohnung,111176052,Kauf,"Altengamme, Hamburg",false,true,Hamburg,true,002.01003010959,true,,140,,3,21039,320000,false,Altengamme,Charmante 3-Zimmer-Wohnung im Landhausstil,https://www.immobilienscout24.de/expose/111176052
111176051,Wohnung,111176051,Kauf,"Altengamme, Hamburg",true,true,Hamburg,true,002.01003010959,true,,153,,4.5,21039,320000,false,Altengamme,"Großzügige 4,5 Zimmer-Altbauwohnung an der Elbe",https://www.immobilienscout24.de/expose/111176051
109891888,Wohnung,109891888,Kauf,"HafenCity, Hamburg",true,true,Hamburg,true,001.2735650,false,,210,,2,20457,6500000,false,HafenCity,Exklusivität auf höchstem Niveau - Wohnen in der Elbphilharmonie,https://www.immobilienscout24.de/expose/109891888
110872408,Wohnung,110872408,Kauf,"Harvestehude, Hamburg",true,true,Hamburg,false,001.5767208,false,,368,,9,20149,6750000,false,Harvestehude,Hanseatische Eleganz direkt an der Alster!,https://www.immobilienscout24.de/expose/110872408
110872407,Wohnung,110872407,Kauf,"Harvestehude, Hamburg",true,true,Hamburg,false,001.5767208,true,,146,,2,20149,2995000,false,Harvestehude,Helle Erdgeschosswohnung direkt an der Alster mit Terrasse und eigenem Garten!,https://www.immobilienscout24.de/expose/110872407
111570649,Wohnung,111570649,Kauf,"Blankenese, Hamburg",true,false,Hamburg,false,002.01008173652,false,,118,,4,22587,750000,false,Blankenese,Modernes Wohnen im Grünen,https://www.immobilienscout24.de/expose/111570649
111570648,Wohnung,111570648,Kauf,"Blankenese, Hamburg",true,false,Hamburg,false,002.01008173652,false,,192,,4,22587,1720000,false,Blankenese,Elegante helle Maisonette-Wohnung,https://www.immobilienscout24.de/expose/111570648
111032848,Wohnung,111032848,Kauf,"Groß Flottbeker Straße 72, Groß Flottbek, Hamburg",true,false,Hamburg,false,002.01008173652,true,53.56803,86,9.87914,3,22607,400000,false,Groß Flottbek,OPEN HOUSE am 16. Juni von 14-16 Uhr - Groß Flottbeker Straße 72,https://www.immobilienscout24.de/expose/111032848
110911297,Wohnung,110911297,Kauf,"Eilbek, Hamburg",true,true,Hamburg,true,001.601973,false,,142,,3,22089,750000,false,Eilbek,Courtagefrei: Neubauwohnung mit 3 oder 4 Zimmern in beliebter Lage,https://www.immobilienscout24.de/expose/110911297
110039433,Wohnung,110039433,Kauf,"Uhlenhorst, Hamburg",true,true,Hamburg,true,001.601973,false,,122,,2,22087,1250000,false,Uhlenhorst,Endetage mit Loft-Charakter und Dachterrasse,https://www.immobilienscout24.de/expose/110039433
111166191,Wohnung,111166191,Kauf,"Am Kaiserkai 15, HafenCity, Hamburg",true,false,Hamburg,false,001.339523,false,53.54139,108,9.99089,4,20457,920000,false,HafenCity,Familienfreundliche Wohnung mit Wasser- und Weitblicken zur Strandkaispitze und zur Elbphilharmonie,https://www.immobilienscout24.de/expose/111166191
