Strassenschluessel;Strasse;Ortsteil;Stadtteil;Polizei;Grundbuchschluessel;PLZ
K109;Kattunbleiche, Nr. 2/8;505;Wandsbek;37;552;22041
K546;Kattwykbruecke;;;;;
K546;von Kattwykdamm bis Ortsteilgrenze 712;137;Wilhelmsburg;3;713;21107
K546;von Ortsteilgrenze 137 bis Kattwykdamm;712;Moorburg;3;704;21107
K548;Kattwykdamm, Nr. 2/12 und 3a/45;137;Wilhelmsburg;3;713;21107
K548;von Kattwykbruecke bis Moorburger Elbdeich;712;Moorburg;3;704;21079
K110;Kattwykstrasse;137;Wilhelmsburg;3;713;21107
K598;Kattwykweg;137;Wilhelmsburg;3;713;21107
K111;Katzbachstrasse;220;Lurup;25;207;22547
K112;Katzenstieg;219;Othmarschen;25;210;22763
K113;Kaudiekskamp;524;Bergstedt;35;538;22395
K114;Kauershofweg;709;Marmstorf;46;721;21077
K115;Kaulbachstrasse, Nr. 1;218;Gross Flottbek;25;208;22607
K115;Kaulbachstrasse, Nr. 3/33 und 4/28;218;Gross Flottbek;25;211;22607
K588;Kaeuzchenstieg;714;Hausbruch;47;707;21147
K116;Kayhuder Weg;432;Langenhorn;34;420;22417
K117;Kedenburgstrasse, Nr. 3/7 und 4/16;508;Wandsbek;37;548;22041
K117;Kedenburgstrasse, Nr. 18/50 und 29/53;508;Wandsbek;37;552;22041
----;Kedenburgstrassenbruecke;508;Wandsbek;;;
K118;Kegelhofstrasse, Nr. 9/83;403;Eppendorf;23;426;20251
K118;Kegelhofstrasse, Nr. 2/56a;405;Eppendorf;23;426;20251
K120;Kehrum;518;Sasel;35;539;22393
K121;Kehrwieder;103;HafenCity;14;102;20457
K122;Kehrwiederspitze;103;HafenCity;14;102;20457
K123;Kehrwiedersteg;103;HafenCity;14;102;20457
K124;Keilende;320;Eidelstedt;27;305;22523
K125;Keindorffstrasse;136;Wilhelmsburg;44;716;21109
K126;Keitumer Weg;130;Billstedt;42;190;22117
K127;Kellerbleek, Nr. 1/1a und 2;317;Lokstedt;23;306;22529
K127;Kellerbleek, Nr. 3/5;318;Niendorf;23;306;22529
K127;Kellerbleek, Nr. 6/10;406;Gross Borstel;23;426;22529
K128;Kellinghusenstrasse;404;Eppendorf;23;426;20249
K129;Kelloggstrasse;512;Jenfeld;38;550;22045
K569;Keltenstieg;318;Niendorf;24;307;22455
K130;Keltenweg;318;Niendorf;24;307;22455
K131;Kelterstrasse;517;Wellingsbuettel;35;531;22391
K132;Kempelbarg, Nr. 1/17 und 4/16;220;Lurup;25;208;22549
K132;Kempelbarg, Nr. 20/22;220;Lurup;25;207;22549
K133;Kennedybruecke;;;;;
K133;von An der Alster bis Mitte der Bruecke;114;St. Georg;11;118;20099
K133;von Mitte der Bruecke bis Alsterufer/Neuer Jungfernstieg;312;Rotherbaum;17;301;20354
K134;Kentzlerdamm;124;Hamm;41;109;20537
K135;Keplerstrasse, Nr. 1/15 und 2/18;214;Ottensen;21;212;22765
K135;Keplerstrasse, Nr. 17/37 und 20/36;214;Ottensen;21;212;22763
K136;Kerbelweg;430;Ohlsdorf;36;423;22337
K137;Kernbeisserweg;220;Lurup;25;207;22547
K138;Kernbek;128;Horn;42;110;22111
K139;Kernerreihe;429;Barmbek-Nord;36;453;22307
K140;Kerschensteinerstrasse;701;Harburg;46;709;21073
----;Kersten-Miles-Bruecke;105;Neustadt;;;
----;Kersten-Miles-Bruecke;106;Neustadt;;;
----;Kersten-Miles-Bruecke;112;St. Pauli;;;
K141;Kerstensweg;503;Eilbek;31;556;22089
K639;Kesselflickerweg;432;Langenhorn;34;420;22419
K142;Kesslersweg;507;Wandsbek;37;552;22041
K143;Kettelerweg;319;Schnelsen;24;308;22457
K144;Ketzendorfer Weg;715;Neugraben-Fischbek;47;705;21149
K145;Keustueck;432;Langenhorn;34;420;22415
K146;Kibbelsteg;103;HafenCity;14;102;20457
K147;Kickbuschweg;708;Sinstorf;46;719;21079
K148;Kiebitzdeich;606;Neuengamme;43;610;21037
K149;Kiebitzhegen;514;Farmsen-Berne;38;545;22159
K554;Kiebitzhof;501;Eilbek;31;556;22089
K150;Kiebitzstieg;519;Poppenbuettel;35;532;22399
K151;Kiebitzstrasse;501;Eilbek;31;556;22089
K152;Kiefernberg;711;Heimfeld;46;709;21075
K636;Kiefernhain;407;Alsterdorf;33;424;22297
K153;Kiefernheide;715;Neugraben-Fischbek;47;705;21149
K154;Kiefernweg;431;Fuhlsbuettel;34;421;22335
K155;Kiefhoern;425;Dulsberg;37;453;22049
K156;Kiehnshecken;603;Bergedorf;43;603;21029
K158;Kiekmoor;130;Billstedt;42;190;22115
K159;Kielbarg;521;Lemsahl-Mellingstedt;35;533;22397
K160;Kieler Strasse, Nr. 2/68;209;Altona-Nord;21;213;22769
K160;Kieler Strasse, Nr. 5a/85;209;Altona-Nord;21;212;22769
K160;Kieler Strasse, Nr. 70/90;209;Altona-Nord;23;213;22769
K160;Kieler Strasse, Nr. 87/105;209;Altona-Nord;23;212;22769
K160;Kieler Strasse, Nr. 92/92d und 128/142;304;Eimsbuettel;23;303;22769
K160;Kieler Strasse, Nr. 100/102 und 144/148;304;Eimsbuettel;23;304;22769
K160;Kieler Strasse, Nr. 150/236;304;Eimsbuettel;23;304;22525
K160;Kieler Strasse, Nr. 590a/594h und 593/595a;320;Eidelstedt;27;304;22525
K160;Kieler Strasse, Nr. 601/627 und 602;320;Eidelstedt;27;305;22525
K160;Kieler Strasse, Nr. 612/720 und 631/721;320;Eidelstedt;27;305;22527
K160;Kieler Strasse, Nr. 131/157;321;Stellingen;23;304;22769
K160;Kieler Strasse, Nr. 159/221;321;Stellingen;23;304;22525
K160;Kieler Strasse, Nr. 231/573a und 244/572;321;Stellingen;27;304;22525
K161;Kielkamp, Nr. 2/16 und 21/35;216;Bahrenfeld;25;211;22761
K161;Kielkamp, Nr. 38/78 und 39a/49;217;Bahrenfeld;25;211;22761
K162;Kielkoppelstrasse;526;Rahlstedt;38;544;22149
K163;Kielmannseggstieg;511;Marienthal;37;552;22043
K164;Kielmannseggstrasse;511;Marienthal;37;552;22043
K165;Kielortallee;309;Eimsbuettel;17;302;20144
K166;Kielstueck;432;Langenhorn;34;420;22415
K167;Kienenhagen;602;Bergedorf;43;604;21035
K168;Kienholt;515;Bramfeld;36;546;22175
K169;Kiepenkerlsweg;715;Neugraben-Fischbek;47;705;21149
K170;Kiesbarg;715;Neugraben-Fischbek;47;705;21149
K171;Kieseltal;714;Hausbruch;47;707;21149
K172;Kieselweg;519;Poppenbuettel;35;532;22395
K173;Kiesgrube;317;Lokstedt;23;306;22529
K560;Kiesselbachweg;520;Hummelsbuettel;35;530;22399
K175;Kiesslingstieg;429;Barmbek-Nord;36;453;22307
K553;Kimbernstieg;318;Niendorf;24;307;22455
K552;Kimbernstrasse;318;Niendorf;24;307;22455
K176;Kindtsweg;429;Barmbek-Nord;36;453;22309
K177;Kippingstrasse, Nr. 2/32a und 3/29;309;Eimsbuettel;17;302;20144
K177;Kippingstrasse, Nr. 34/40 und 35/39;309;Eimsbuettel;17;303;20144
K178;Kipps Weg, Nr. 18/22;517;Wellingsbuettel;35;531;22393
K178;Kipps Weg, Nr. 1/13 und 2/12a;518;Sasel;35;539;22393
K559;Kirchdorfer Damm;136;Wilhelmsburg;44;716;21109
K576;Kirchdorfer Stieg;136;Wilhelmsburg;44;716;21109
K180;Kirchdorfer Strasse;136;Wilhelmsburg;44;716;21109
K182;Kirchenallee;114;St. Georg;11;118;20099
K183;Kirchenaussendeichsweg;141;Finkenwerder;47;107;21129
K184;Kirchenbruecke, Nr. 1;609;Reitbrook;43;614;21037
K184;von Allermoeher Deich bis Mitte Dove-Elbe;610;Allermoehe;43;601;21037
K185;Kirchenhang;710;Eissendorf;46;711;21073
K186;Kirchenheerweg;607;Kirchwerder;43;607;21037
----;Kirchenheerwegbruecke;607;Kirchwerder;;;
K187;Kirchenheide;524;Bergstedt;35;538;22395
K188;Kirchenpauerkai;104;HafenCity;2;102;20457
K189;Kirchenpauerstrasse;104;HafenCity;2;102;20457
K190;Kirchenredder;520;Hummelsbuettel;34;530;22339
K191;Kirchenstegel;605;Altengamme;43;602;21039
K192;Kirchenstrasse, Nr. 40;201;Altona-Altstadt;21;215;22767
K192;Kirchenstrasse, Nr. 1/21;202;Altona-Altstadt;21;215;22767
K193;Kirchentwiete;214;Ottensen;21;212;22765
K194;Kirchenweg;114;St. Georg;11;118;20099
K195;Kirchhofstrasse;507;Wandsbek;37;552;22041
K196;Kirchhofstwiete;507;Wandsbek;37;552;22041
K197;Kirchhofsweg;603;Bergedorf;43;603;21029
K198;Kirchlinden;130;Billstedt;42;117;22111
K542;Kirchnerweg;130;Billstedt;42;190;22115
K199;Kirchwerder Elbdeich;607;Kirchwerder;43;607;21037
K200;Kirchwerder Hausdeich;607;Kirchwerder;43;607;21037
K201;Kirchwerder Landweg, Nr. 1/225 und 2/210;606;Neuengamme;43;610;21037
K201;Kirchwerder Landweg, Nr. 246/560 und 455/561;607;Kirchwerder;43;607;21037
----;Kirchwerder Landwegbruecke;606;Neuengamme;;;
----;Kirchwerder Landwegbruecke;607;Kirchwerder;;;
K594;Kirchwerder Marschbahndamm, Nr. 40 und 101;607;Kirchwerder;43;607;21037
K594;Kirchwerder Marschbahndamm, Nr. 259;607;Kirchwerder;43;610;21037
K594;Kirchwerder Marschbahndamm, Nr. 290/450 und 291;607;Kirchwerder;43;612;21037
K202;Kirchwerder Muehlendamm, Nr. 1/3 und 2/124;607;Kirchwerder;43;607;21037
K202;Kirchwerder Muehlendamm, Nr. 5/5a;607;Kirchwerder;43;610;21037
K202;Kirchwerder Muehlendamm, Nr. 7/85;607;Kirchwerder;43;607;21037
K203;Kirchwerder Schulweg;607;Kirchwerder;43;607;21037
K204;Kirschenstieg;407;Alsterdorf;34;421;22297
K205;Kirschgarten;601;Lohbruegge;43;608;21031
K206;Kirschtenstrasse;223;Blankenese;26;203;22587
K207;Kisdorfer Weg;432;Langenhorn;34;420;22417
K562;Kishorst;520;Hummelsbuettel;35;530;22339
K208;Kittelweg;526;Rahlstedt;38;544;22149
K209;Kiwittredder, Nr. 2/96;519;Poppenbuettel;35;532;22399
K209;Kiwittredder, Nr. 1;520;Hummelsbuettel;35;530;22399
K210;Kiwittsmoor, Nr. 1/5a und 4;432;Langenhorn;34;420;22419
K210;Kiwittsmoor, Nr. 6/70 und 7/55;432;Langenhorn;34;420;22417
K596;Klabautermannweg;319;Schnelsen;24;308;22457
K211;Klabundeweg;524;Bergstedt;35;538;22359
K213;Klapperhof;601;Lohbruegge;43;608;21033
K214;Klappstrasse;505;Wandsbek;37;552;22041
----;Klaerchenbruecke;410;Winterhude;;;
----;Klaerchenbruecke;413;Winterhude;;;
K212;Klaerchenstrasse, Nr. 10/24;410;Winterhude;33;425;22299
K212;Klaerchenstrasse, Nr. 1/21;413;Winterhude;33;425;22299
K215;Klaus-Groth-Strasse;120;Borgfelde;41;105;20535
K605;Klaus-Nanne-Strasse;319;Schnelsen;24;308;22457
K216;Klaus-Schaumann-Strasse;602;Bergedorf;43;604;21035
K218;Klausstrasse;214;Ottensen;21;212;22765
K219;Kleefeld;709;Marmstorf;46;721;21077
K220;Kleekamp, Nr. 1/69 und 4/72;431;Fuhlsbuettel;34;421;22339
K220;Kleekamp, Nr. 2;431;Fuhlsbuettel;34;421;22335
----;Kleekampbruecke;431;Fuhlsbuettel;;;
K222;Kleiberweg;220;Lurup;25;207;22547
K531;Kleine Bahnstrasse;321;Stellingen;27;304;22525
K229;Kleine Bergstrasse, Nr. 17/21 und 30/34;204;Altona-Altstadt;21;214;22767
K229;zwischen Virchowstrasse und Thedestrasse;205;Altona-Altstadt;21;214;22767
K230;Kleine Brunnenstrasse;213;Ottensen;21;212;22765
K231;Kleine Freiheit, Nr. 42/54 und 58/82;110;St. Pauli;15;121;22767
K231;Kleine Freiheit, Nr. 1/5 und 56;205;Altona-Altstadt;15;213;22767
K570;Kleine Gasse;702;Harburg;46;709;21073
K232;Kleine Heide;715;Neugraben-Fischbek;47;705;21149
K563;Kleine Holl;130;Billstedt;42;190;22115
K233;Kleine Horst;430;Ohlsdorf;35;422;22337
K234;Kleine Johannisstrasse;102;Hamburg-Altstadt;14;101;20457
K235;Kleine Marienstrasse;205;Altona-Altstadt;21;213;22767
K243;Kleinenhoevel;136;Wilhelmsburg;44;716;21109
K236;Kleine Rainstrasse;213;Ottensen;21;212;22765
K244;Kleiner Burstah;102;Hamburg-Altstadt;14;102;20457
K237;Kleine Reichenstrasse, Nr. 1/21;101;Hamburg-Altstadt;14;102;20457
K237;Kleine Reichenstrasse, Nr. 2/24;101;Hamburg-Altstadt;14;101;20457
K245;Kleiner Kielort;309;Eimsbuettel;17;302;20144
K238;Kleine Rosenstrasse;101;Hamburg-Altstadt;14;101;20095
K247;Kleiner Pulverteich;114;St. Georg;11;118;20099
K248;Kleiner Schaeferkamp, Nr. 19/43;207;Sternschanze;16;301;20357
K248;Kleiner Schaeferkamp, Nr. 12/60;309;Eimsbuettel;17;303;20357
K249;Kleiner Schippsee;702;Harburg;46;709;21073
K239;Kleine Seilerstrasse;111;St. Pauli;15;121;20359
K240;Kleine Strasse;710;Eissendorf;46;711;21075
K241;Kleine Theaterstrasse;108;Neustadt;14;114;20354
----;Kleine Wandrahmsbruecke;103;HafenCity;;;
K242;Kleine Wiese;514;Farmsen-Berne;38;545;22159
K250;Kleinfeld, Nr. 4/38b und 23/33h;715;Neugraben-Fischbek;47;705;21149
K250;Kleinfeld, Nr. 35a/83b und 40a/106;715;Neugraben-Fischbek;47;707;21149
K607;Kleinfeldstieg;715;Neugraben-Fischbek;47;707;21149
K223;Klein Flottbeker Weg;219;Othmarschen;25;210;22605
K224;Klein Fontenay;312;Rotherbaum;17;301;20354
K253;Kleingartenweg;136;Wilhelmsburg;44;716;21109
K254;Kleinsand;137;Wilhelmsburg;44;716;21107
K256;Kleinworts Hoeh;220;Lurup;25;207;22549
K257;Kleiststrasse;504;Eilbek;31;556;22089
K258;Klettenstieg;526;Rahlstedt;38;544;22143
K259;Kletterrosenweg;515;Bramfeld;36;546;22177
K261;Klewerkoppel;431;Fuhlsbuettel;34;420;22335
K262;Klingberg;101;Hamburg-Altstadt;14;101;20095
K263;Klinikweg;422;Barmbek-Sued;31;453;22081
K264;Klinkerweg;606;Neuengamme;43;610;21039
K265;Klinkstrasse;130;Billstedt;42;117;22117
K577;Klipperweg;717;Neuenfelde;47;703;21129
K529;Klobbenheeg;226;Suelldorf;26;202;22589
K624;Kloksweg;309;Eimsbuettel;17;303;20357
K571;Klophausring;602;Bergedorf;43;601;21035
K267;Kloepperstieg;525;Volksdorf;35;540;22359
K269;Klopstockplatz;214;Ottensen;21;212;22765
K270;Klopstockstrasse;214;Ottensen;21;215;22765
K271;Klopstockterrasse;214;Ottensen;21;212;22765
K272;Klosterallee, Nr. 49/67 und 58/80;314;Harvestehude;17;302;20144
K272;Klosterallee, Nr. 69 und 100/110;401;Hoheluft-Ost;23;426;20144
----;Klosteralleebruecke;314;Harvestehude;;;
K273;Klostergarten;314;Harvestehude;17;302;20149
K274;Klosterhagen;602;Bergedorf;43;603;21029
K275;Klosterstern;314;Harvestehude;17;302;20149
K276;Klosterstieg;313;Harvestehude;17;302;20149
K277;Klostertor;115;Hammerbrook;11;119;20097
K278;Klosterwall, Nr. 2/8;101;Hamburg-Altstadt;14;101;20095
K278;Klosterwall, Nr. 1/23;115;Hammerbrook;14;101;20095
K279;Klosterwisch;525;Volksdorf;35;540;22359
K280;Klotzenmoor;406;Gross Borstel;23;419;22453
K281;Klotzenmoorstieg;406;Gross Borstel;23;419;22453
K268;Kloevensteenweg;227;Rissen;26;201;22559
K534;Kluetjenfelder Hauptdeich;138;Kleiner Grasbrook;2;113;20457
K282;Kluetjenfelder Strasse, Nr. 17 und 18/20;137;Wilhelmsburg;44;716;20457
K282;Kluetjenfelder Strasse, Nr. 1;138;Kleiner Grasbrook;44;113;20457
K282;Kluetjenfelder Strasse, Nr. 2/10;138;Kleiner Grasbrook;2;113;20457
K284;Knabenkrautweg;518;Sasel;35;539;22395
K285;Knabeweg;221;Osdorf;26;206;22549
K286;Knappe Boege;407;Alsterdorf;34;424;22297
K287;Knasterberg;517;Wellingsbuettel;35;531;22391
K288;Knauerstrasse;404;Eppendorf;23;426;20249
K289;Kneesestrasse;507;Wandsbek;37;552;22041
K290;Kneidenweg;612;Moorfleet;43;609;22113
K291;Kneienblick;141;Finkenwerder;47;106;21129
K292;Knickberg;709;Marmstorf;46;721;21077
K293;Knickweg;412;Winterhude;33;425;22303
K294;Kniep;432;Langenhorn;34;420;22415
K295;Kniggestrasse;705;Wilstorf;46;709;21079
K296;Knivsbergweg;130;Billstedt;42;190;22117
K297;Knochenhauertwiete;102;Hamburg-Altstadt;14;101;20095
K298;Knokenholt;517;Wellingsbuettel;35;531;22391
K299;Knoopstrasse;701;Harburg;46;709;21073
K300;Knorrestrasse;113;St. Georg;11;118;20099
K301;Knospenweg;226;Suelldorf;26;202;22589
K302;Knuellkamp;220;Lurup;26;206;22549
K303;Knutzenweg;510;Marienthal;37;552;22041
K304;Kobberdiekskoppel;521;Lemsahl-Mellingstedt;35;533;22397
K306;Koebenbusch;318;Niendorf;24;306;22453
K305;Koboldweg;709;Marmstorf;46;721;21077
K307;Koederheide;526;Rahlstedt;38;544;22149
K578;Koggenweg;717;Neuenfelde;47;703;21129
K545;Koehlbrandbruecke;;;;;
K545;von Rossdamm bis Mitte des Koehlbrandes;139;Steinwerder;2;122;20457
K545;von Altenwerder Damm bis Mitte des Koehlbrandes;140;Waltershof;2;122;21129
K309;Koehlbranddeich, Nr. 30/34;137;Wilhelmsburg;2;715;20457
K309;Koehlbranddeich, Nr. 1 und 10/28a;139;Steinwerder;2;122;20457
K310;Koehlbrandhoeft;139;Steinwerder;2;122;20457
K311;Koehlbrandstrasse;137;Wilhelmsburg;44;715;21107
K312;Koehlbrandtreppe;202;Altona-Altstadt;21;215;22767
K335;Kohlenkai;139;Steinwerder;2;122;20457
K336;Kohlentwiete;215;Bahrenfeld;25;212;22761
K313;Koehlerstrasse;221;Osdorf;26;204;22587
K314;Koehlfleetdamm;140;Waltershof;1;122;21129
K540;Koehlfleet-Hauptdeich;141;Finkenwerder;47;106;21129
K337;Kohlgarten;430;Ohlsdorf;34;421;22335
K338;Kohlhoefen, Nr. 5/13 und 23-29;106;Neustadt;14;114;20355
K338;Kohlhoefen, Nr. 2/10 und 14-22;107;Neustadt;14;114;20355
K339;Kohlmeisenstieg;519;Poppenbuettel;35;532;22399
K340;Kohmannweg;525;Volksdorf;35;540;22359
K315;Koehnckeweg;601;Lohbruegge;43;608;21033
K316;Koehnestrasse;133;Rothenburgsort;41;104;20539
K574;Kohort;141;Finkenwerder;47;106;21129
K341;Kohoevedstrasse, Nr. 2/18 und 3/5;526;Rahlstedt;38;544;22143
K341;Kohoevedstrasse, Nr. 7/31 und 20/44;526;Rahlstedt;38;542;22143
K343;Kohrswort;432;Langenhorn;34;420;22415
K344;Kolbergstrasse;113;St. Georg;11;118;20099
K345;Koldeweystrasse;406;Gross Borstel;23;419;22453
K346;Koldingstrasse;209;Altona-Nord;21;213;22769
K347;Kolkwiese;514;Farmsen-Berne;38;545;22159
K348;Kollaukamp;318;Niendorf;24;307;22453
K349;Kollaustrasse, Nr. 1/77 und 4/70;317;Lokstedt;23;306;22529
K349;Kollaustrasse, Nr. 72/92 und 83/117;318;Niendorf;24;306;22453
K349;Kollaustrasse, Nr. 94/216 und 119/241;318;Niendorf;24;307;22453
K350;Kollenhof;320;Eidelstedt;27;304;22527
K351;Kollergang;710;Eissendorf;46;721;21077
K317;Koellns Acker;320;Eidelstedt;27;305;22523
K352;Kolloweg;526;Rahlstedt;38;541;22145
K543;Kollwitzring;130;Billstedt;42;190;22115
K354;Kolpingweg;506;Wandsbek;37;552;22049
K355;Kolumbusstrasse, Nr. 8/8a;128;Horn;42;117;22113
K355;Kolumbusstrasse, Nr. 10/16;130;Billstedt;42;117;22113
K356;Komoedienstieg;202;Altona-Altstadt;21;215;22767
K597;Komorowskiweg;710;Eissendorf;46;711;21077
K318;Koenig-Georg-Deich, Nr. 17/19 und 24;136;Wilhelmsburg;44;716;21109
K318;Koenig-Georg-Deich, Nr. 1 und 2/8;137;Wilhelmsburg;44;716;21107
K318;Koenig-Georg-Deich, Nr. 14 und 15;137;Wilhelmsburg;44;716;21109
K611;Koenig-Georg-Stieg;137;Wilhelmsburg;44;716;21107
K535;Koenig-Georg-Weg;136;Wilhelmsburg;44;716;21107
K320;Koeniggraetzstrasse;221;Osdorf;26;206;22609
K319;Koenig-Heinrich-Weg, Nr. 1/113 und 2/138b;318;Niendorf;24;307;22459
K319;Koenig-Heinrich-Weg, Nr. 115/243 und 140a/280b;318;Niendorf;24;307;22455
K321;Koenigsberger Strasse;515;Bramfeld;36;546;22175
K628;Koenigsfarn;432;Langenhorn;34;420;22417
K322;Koenigshuetter Strasse;425;Dulsberg;37;453;22049
K323;Koenigskinderweg;319;Schnelsen;24;308;22457
K324;Koenigsreihe;505;Wandsbek;37;552;22041
K325;Koenigstrasse, Nr. 1/11c und 2/10a;201;Altona-Altstadt;21;215;22767
K325;Koenigstrasse, Nr. 15/51;202;Altona-Altstadt;21;215;22767
K325;Koenigstrasse, Nr. 12/54 und 55;203;Altona-Altstadt;21;215;22767
K357;Konjetznystrasse;432;Langenhorn;34;420;22419
K600;Konrad-Hager-Strasse;320;Eidelstedt;27;305;22523
K358;Konrad-Reuter-Strasse;518;Sasel;35;539;22393
K618;Konrad-Veix-Stieg;615;Neuallermoehe;43;601;21035
K359;Konsul-Francke-Strasse;711;Heimfeld;46;709;21075
K360;Konsul-Renck-Strasse;702;Harburg;46;709;21073
K361;Konsul-Ritter-Strasse;711;Heimfeld;3;709;21079
K362;Koolbarg;130;Billstedt;42;116;22117
K363;Koolbargenredder;130;Billstedt;42;116;22117
K626;Koopmanns Eck;607;Kirchwerder;43;607;21037
K364;Koopstrasse;309;Eimsbuettel;17;302;20144
K634;Koornstegel;136;Wilhelmsburg;44;716;21109
K592;Koepenicker Stieg;513;Tonndorf;38;549;22045
K326;Koepenicker Strasse, Nr. 2/52;512;Jenfeld;38;550;22045
K326;Koepenicker Strasse, Nr. 1/53c;513;Tonndorf;38;549;22045
K326;Koepenicker Strasse, Nr. 69/77k und 72/78c;526;Rahlstedt;38;544;22149
K365;Kopernikusstrasse;526;Rahlstedt;38;544;22147
K366;Kopischweg;318;Niendorf;24;307;22455
K367;Koppel, Nr. 43/107 und 44/108;113;St. Georg;11;118;20099
K367;Koppel, Nr. 1/33 und 4/40;114;St. Georg;11;118;20099
K368;Koppelbarg;220;Lurup;25;207;22547
K369;Koppelstieg;136;Wilhelmsburg;44;716;21109
K370;Koppelstrasse, Nr. 45/49;317;Lokstedt;23;306;22529
K370;Koppelstrasse, Nr. 2/30 und 7/27;321;Stellingen;27;304;22527
K371;Koppelweg;519;Poppenbuettel;35;532;22399
K327;Koeppenstrasse;406;Gross Borstel;23;419;22453
K372;Kopperholdtweg;216;Bahrenfeld;25;211;22761
K373;Korachstrasse;601;Lohbruegge;43;608;21031
K374;Korallusring;136;Wilhelmsburg;44;716;21109
K375;Korallusstrasse;136;Wilhelmsburg;44;716;21109
K635;Koreastrasse;104;HafenCity;14;102;20457
K378;Kornacker;320;Eidelstedt;27;305;22523
K379;Kornbergstrasse;508;Wandsbek;37;552;22041
K380;Kornblumenweg;221;Osdorf;26;206;22549
K328;Koernerstrasse;413;Winterhude;33;425;22301
----;Koernerstrassenbruecke;413;Winterhude;;;
K595;Kornhausbruecke;;;;;
K595;von Dovenfleet linke Seite bis Mitte der Bruecke;101;Hamburg-Altstadt;14;199;20457
K595;von Zippelhaus rechte Seite bis Mitte der Bruecke;102;Hamburg-Altstadt;14;199;20457
K595;von Bei St.Annen beide Seiten bis Mitte der Bruecke;103;HafenCity;14;199;20457
K381;Kornpfad;514;Farmsen-Berne;38;545;22159
K382;Kornradenweg;221;Osdorf;26;206;22549
K383;Korntraegergang;107;Neustadt;14;114;20355
K384;Kornweg;430;Ohlsdorf;35;422;22337
K385;Kornweide, Nr. 47/63a und 52/78a;136;Wilhelmsburg;44;716;21109
K385;Kornweide, Nr. 2;137;Wilhelmsburg;44;716;21107
----;Kornweidenbruecke;136;Wilhelmsburg;;;
----;Kornweidenbruecke;137;Wilhelmsburg;;;
K386;Korte Bloeck;523;Wohldorf-Ohlstedt;35;537;22397
K387;Kortenenden;519;Poppenbuettel;35;532;22399
K388;Kortenkamp;432;Langenhorn;34;420;22415
K389;Kortenland;524;Bergstedt;35;538;22395
K390;Kortenredder;523;Wohldorf-Ohlstedt;35;537;22397
K391;Kortenwisch;523;Wohldorf-Ohlstedt;35;537;22397
K392;Korverweg, Nr. 1a/5 und 2/28;130;Billstedt;42;117;22117
K392;Korverweg, Nr. 21a/27c und 30/32;130;Billstedt;42;190;22117
K329;Koesliner Strasse;526;Rahlstedt;38;542;22147
K331;Koesterbergstrasse, Nr. 1/11;223;Blankenese;26;204;22587
K331;Koesterbergstrasse, Nr. 2/90 und 29/105;223;Blankenese;26;203;22587
K332;Koesterrodenweg;526;Rahlstedt;38;543;22147
K333;Koesterstrasse;405;Eppendorf;23;426;20251
K334;Koeterdamm;141;Finkenwerder;47;107;21129
K393;Kottwitzstrasse, Nr. 4/46 und 5/39;315;Hoheluft-West;23;303;20253
K393;Kottwitzstrasse, Nr. 43/61 und 50/68;316;Hoheluft-West;23;303;20253
K396;Kraemerstieg;432;Langenhorn;34;420;22415
K397;Kraepelinweg;423;Barmbek-Sued;31;453;22081
K556;Kraehenbeerheide;715;Neugraben-Fischbek;47;705;21149
K394;Kraehenhorst;224;Blankenese;26;204;22587
K395;Kraehenweg;318;Niendorf;24;307;22459
K398;Krahnhoeft;138;Kleiner Grasbrook;2;113;20457
K400;Kramerkoppel;508;Wandsbek;37;552;22041
K399;Kramer-Kray-Weg;519;Poppenbuettel;35;532;22399
K401;Krampengrund;525;Volksdorf;35;540;22359
K402;Krampstieg;524;Bergstedt;35;538;22395
K403;Kranichfeldstrasse;507;Wandsbek;37;552;22041
K404;Kranichhorst;318;Niendorf;24;307;22459
K405;Kranichweg;426;Barmbek-Nord;31;453;22305
----;Krapphofschleusenbruecke;610;Allermoehe;;;
K573;Krapphofstrasse, Nr. 1/31;602;Bergedorf;43;604;21035
K573;Krapphofstrasse, Nr. 2/22;602;Bergedorf;43;601;21035
K537;Kraueler Hauptdeich, Nr. 299/303;606;Neuengamme;43;610;21037
K537;Kraueler Hauptdeich, Nr. 17;607;Kirchwerder;43;607;21037
K537;Kraueler Hauptdeich, Nr. 37/113;607;Kirchwerder;43;610;21037
K537;Kraueler Hauptdeich, Nr. 115/261;607;Kirchwerder;43;612;21037
K408;Krausestrasse, Nr. 23/79 und 36/120;424;Dulsberg;37;453;22049
K408;Krausestrasse, Nr. 2/34c und 3;426;Barmbek-Nord;31;453;22305
----;Krausestrassenbruecke;424;Dulsberg;;;
----;Krausestrassenbruecke;426;Barmbek-Nord;;;
K409;Krautgraben;514;Farmsen-Berne;38;545;22159
K410;Krautstuecken;226;Suelldorf;26;202;22589
K411;Krayenkamp, Nr. 15-15a;105;Neustadt;14;115;20459
K411;Krayenkamp, Nr. 4a-13;107;Neustadt;14;115;20459
K412;Kreetkamp;219;Othmarschen;25;210;22605
K586;Kreetortring;714;Hausbruch;47;707;21147
K539;Kreetsander Hauptdeich;135;Wilhelmsburg;44;716;21109
K413;Kreetslag;141;Finkenwerder;47;106;21129
K414;Krefelder Weg;432;Langenhorn;34;420;22419
K415;Kreienhoop;519;Poppenbuettel;35;532;22399
